domain,workflow
HR,leave_request
HR,leave_balance
HR,attendance_issue
HR,payroll_query
HR,benefits_query
HR,employee_information_update
HR,onboarding_support
FINANCE,expense_reimbursement
FINANCE,invoice_query
FINANCE,payment_status
FINANCE,budget_request
FINANCE,financial_report
FINANCE,purchase_expense_query
FINANCE,tax_query
IT_SUPPORT,password_reset
IT_SUPPORT,account_access
IT_SUPPORT,laptop_issue
IT_SUPPORT,software_issue
IT_SUPPORT,software_installation
IT_SUPPORT,network_issue
IT_SUPPORT,email_issue
IT_SUPPORT,device_request
OPERATIONS,process_query
OPERATIONS,operational_request
OPERATIONS,process_status
OPERATIONS,business_process_issue
OPERATIONS,internal_document_request
OPERATIONS,operational_reporting
FACILITIES,maintenance_request
FACILITIES,equipment_issue
FACILITIES,workspace_request
FACILITIES,office_access
FACILITIES,cleaning_request
FACILITIES,meeting_room_request
FACILITIES,safety_issue
LEGAL,contract_review
LEGAL,contract_request
LEGAL,compliance_query
LEGAL,legal_document_request
LEGAL,policy_review
LEGAL,legal_issue
SECURITY,phishing_report
SECURITY,security_incident
SECURITY,suspicious_activity
SECURITY,unauthorized_access
SECURITY,data_security_issue
SECURITY,security_policy_query
SALES,lead_management
SALES,opportunity_status
SALES,customer_information
SALES,sales_process_query
SALES,quotation_request
SALES,sales_reporting
SALES,customer_account_issue
